City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,chokurdakh,32,RU,1544316735,63,70.62,147.9,-33.94,3.06
89,adrar,0,DZ,1544313600,50,27.87,-0.29,55.4,16.11
90,hamilton,90,BM,1544314380,77,32.3,-64.78,64.4,6.93
91,inta,68,RU,1544316736,80,66.04,60.13,19.88,5.08
92,lethem,8,GY,1544316654,60,3.38,-59.8,83.29,14.81
93,iqaluit,5,CA,1544313600,75,63.75,-68.52,-13.01,6.93
94,kunming,90,CN,1544313600,100,25.04,102.71,48.2,6.71
95,saint-philippe,90,CA,1544316000,85,45.36,-73.48,15.8,3.36
96,anloga,20,GH,1544313600,94,5.79,0.9,82.4,4.7
97,grand-santi,68,GF,1544316738,100,4.27,-54.38,71.86,2.62
98,destin,90,US,1544315160,93,30.39,-86.5,66.92,14.99
99,santa maria,0,BR,1544316738,49,-29.69,-53.81,63.53,7.76
100,kleive,92,NO,1544314800,93,62.8,7.64,35.6,3.36
101,san quintin,32,PH,1544316739,78,17.54,120.52,72.8,3.96
102,eslov,92,SE,1544314800,87,55.84,13.3,46.4,19.46
103,mishan,20,CN,1544316739,46,45.55,131.88,-1.27,6.42
104,namatanai,68,PG,1544316581,96,-3.66,152.44,85.4,4.41
105,ribeira grande,64,PT,1544316740,99,38.52,-28.7,64.61,15.7
106,karpathos,32,GR,1544314800,71,35.51,27.21,57.2,5.82
107,harper,90,US,1544315700,82,30.3,-99.24,42.08,13.87
108,saskylakh,44,RU,1544316741,70,71.97,114.09,-10.05,3.51
109,manuk mangkaw,32,PH,1544316741,97,4.8,119.85,85.4,0.6
110,port lincoln,64,AU,1544316741,88,-34.72,135.86,64.93,13.24
111,port-gentil,88,GA,1544316545,100,-0.72,8.78,74.83,1.95
112,mbaiki,32,CF,1544316742,87,3.87,17.99,72.58,2.51
113,beringovskiy,12,RU,1544316742,100,63.05,179.32,0.08,20.62
114,tashla,75,RU,1544315400,100,53.71,49.75,26.6,6.71
115,manado,20,ID,1544315400,74,1.49,124.85,84.2,3.36
116,gurun,75,MY,1544315400,94,5.82,100.48,78.8,2.24
117,mamit,0,IN,1544316744,90,23.92,92.49,50.84,1.95
118,the valley,20,AI,1544313600,74,18.22,-63.06,78.8,13.87
119,east london,92,ZA,1544316744,100,-33.02,27.91,66.91,10.45
120,yurimaguas,92,PE,1544316744,99,-5.9,-76.1,71.09,2.17
121,sciacca,40,IT,1544313300,77,37.51,13.08,59.0,13.87
122,lavrentiya,36,RU,1544316745,100,65.58,-170.99,19.79,30.8
123,hilo,20,US,1544313180,56,19.71,-155.08,80.06,11.41
124,mecca,0,SA,1544316508,83,21.43,39.83,50.53,2.95
125,san andres,12,PH,1544316746,100,13.32,122.68,79.96,18.28
126,hoa binh,75,VN,1544315400,93,20.81,105.34,57.2,9.17
127,nikolskoye,90,RU,1544315400,86,59.7,30.79,28.4,11.18
128,ekhabi,80,RU,1544316486,86,53.51,142.97,20.42,13.02
129,narsaq,36,GL,1544313000,68,60.91,-46.05,30.2,11.41
130,vardo,1,US,1544314800,57,39.62,-77.74,32.0,3.85
131,cidreira,0,BR,1544316606,68,-30.17,-50.22,64.03,13.02
132,arraial do cabo,56,BR,1544316511,94,-22.97,-42.02,71.36,8.55
133,vila franca do campo,20,PT,1544313600,63,37.72,-25.43,64.4,10.29
134,moerai,32,PF,1544316661,100,-22.43,-151.33,77.98,8.66
135,thompson,90,CA,1544313600,85,55.74,-97.86,12.2,6.93
136,busselton,0,AU,1544316496,100,-33.64,115.35,63.35,16.26
137,westport,92,IE,1544316537,99,53.8,-9.52,47.38,20.96
138,faya,0,SA,1544313600,87,18.39,42.45,55.4,4.7
139,high level,0,CA,1544316589,86,58.52,-117.13,11.38,4.18
140,srednekolymsk,48,RU,1544316725,65,67.46,153.71,-34.75,2.95
141,lamu,24,ID,1544316750,98,0.57,122.3,77.48,2.39
142,rudesheim,40,DE,1544314800,87,49.85,7.82,50.0,23.04
143,sao filipe,0,CV,1544316750,97,14.9,-24.5,75.41,11.45
144,broken hill,0,AU,1544313600,17,-31.97,141.45,93.2,10.29
145,atuona,20,PF,1544316514,100,-9.8,-139.03,79.55,17.16
146,castro,75,CL,1544313600,87,-42.48,-73.76,55.4,13.87
147,okhotsk,12,RU,1544316751,100,59.36,143.24,7.51,7.09
148,lagoa,0,PT,1544313600,81,37.14,-8.45,53.6,4.7
149,ambon,90,FR,1544313600,81,47.55,-2.56,53.6,14.99
150,amasya,0,TR,1544314800,92,40.65,35.83,30.2,2.62
151,makaha,40,US,1544314860,78,21.47,-158.22,78.08,16.11
152,mandera,32,ET,1544316669,56,3.94,41.86,77.93,6.87
153,port elizabeth,1,US,1544313360,68,39.31,-74.98,33.98,4.7
154,port hedland,12,AU,1544315400,30,-20.31,118.58,98.6,8.05
155,khatanga,36,RU,1544316754,52,71.98,102.47,-9.73,2.73
156,kavieng,64,PG,1544316618,100,-2.57,150.8,83.78,6.31
157,tuatapere,80,NZ,1544316754,87,-46.13,167.69,61.69,10.45
158,salalah,0,OM,1544313000,46,17.01,54.1,71.6,3.36
159,sur,0,OM,1544316600,100,22.57,59.53,74.83,5.08
160,longyearbyen,75,NO,1544313000,68,78.22,15.63,26.6,11.41
161,itacare,75,BR,1544313600,100,-14.28,-39.0,75.2,5.82
162,antalaha,76,MG,1544316755,93,-14.9,50.28,75.32,7.43
163,tateyama,75,JP,1544315100,100,36.66,137.31,33.8,2.24
164,nanortalik,48,GL,1544313000,68,60.14,-45.24,30.2,11.41
165,mayya,80,RU,1544315400,74,61.74,130.28,-23.81,2.24
166,vega de alatorre,88,MX,1544316756,97,20.03,-96.65,72.49,4.63
167,porbandar,0,IN,1544316757,84,21.64,69.61,66.95,8.88
168,shimoda,75,JP,1544313600,39,34.7,138.93,50.0,13.87
169,victoria,75,BN,1544315400,88,5.28,115.24,82.4,3.36
170,kahului,40,US,1544315280,73,20.89,-156.47,82.04,36.91
171,baykit,44,RU,1544316758,61,61.68,96.39,-21.79,2.84
172,maiduguri,0,NG,1544316758,46,11.84,13.15,58.22,6.2
173,nchelenge,0,ZM,1544316759,94,-9.35,28.74,69.16,5.75
174,lorengau,76,PG,1544316637,99,-2.02,147.27,84.59,9.44
175,sept-iles,20,CA,1544313600,65,50.2,-66.38,3.2,5.82
176,faanui,32,PF,1544316760,100,-16.48,-151.75,78.92,13.8
177,anadyr,40,RU,1544315400,75,64.73,177.51,-14.81,11.18
