City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,kenai,90,US,1544324160,81,60.55,-151.26,30.02,13.87
87,ibra,0,OM,1544327801,95,22.69,58.55,54.66,2.15
88,ketchikan,90,US,1544324160,65,55.34,-131.65,50.0,23.04
89,te anau,64,NZ,1544327797,65,-45.41,167.72,64.7,7.29
90,san juan,0,AR,1544327803,22,-31.54,-68.53,66.05,5.39
91,aklavik,75,CA,1544324400,84,68.22,-135.01,1.4,4.7
92,victoria,75,BN,1544326200,74,5.28,115.24,91.4,3.36
93,tura,0,IN,1544327633,85,25.52,90.21,65.6,3.38
94,severo-kurilsk,44,RU,1544327600,100,50.68,156.12,31.26,4.5
95,sur,0,OM,1544327803,100,22.57,59.53,74.64,5.39
96,thaba nchu,88,ZA,1544324400,76,-29.2,26.83,53.6,2.24
97,sedro-woolley,1,US,1544326500,100,48.5,-122.23,44.6,3.36
98,great falls,1,US,1544324280,79,47.5,-111.29,26.06,11.41
99,faya,0,SA,1544324400,87,18.39,42.45,53.6,5.82
100,hermanus,12,ZA,1544327649,100,-34.42,19.24,48.14,2.82
101,amazar,0,RU,1544327805,56,53.86,120.88,-12.84,2.37
102,gizo,40,IL,1544325600,87,31.8,34.94,55.4,3.36
103,sao filipe,0,CV,1544327603,98,14.9,-24.5,75.14,10.65
104,kodiak,1,US,1544325300,53,39.95,-94.76,26.6,5.82
105,launceston,75,AU,1544326200,46,-41.43,147.14,71.6,5.82
106,oudtshoorn,20,ZA,1544324400,87,-33.59,22.2,53.6,4.7
107,bluff,92,AU,1544327549,66,-23.58,149.07,75.95,15.46
108,avarua,90,CK,1544324400,88,-21.21,-159.78,80.6,13.87
109,chokurdakh,36,RU,1544327807,0,70.62,147.9,-31.61,4.38
110,biloela,56,AU,1544327807,59,-24.4,150.51,79.01,16.13
111,quatre cocos,75,MU,1544324400,83,-20.21,57.76,78.8,10.29
112,carnarvon,0,ZA,1544327808,95,-30.97,22.13,47.28,12.77
113,nelson bay,0,AU,1544326200,48,-32.72,152.14,84.2,13.87
114,alofi,92,NU,1544324400,78,-19.06,-169.92,80.6,11.41
115,port macquarie,0,AU,1544326260,61,-31.43,152.91,82.4,17.22
116,basco,20,US,1544326500,85,40.33,-91.2,23.0,6.85
117,akdepe,0,TM,1544326200,79,42.05,59.39,32.0,4.7
118,poopo,64,BO,1544327810,62,-18.38,-66.97,55.92,2.37
119,san jose,24,PH,1544327566,67,15.79,120.99,83.87,4.83
120,namatanai,64,PG,1544327740,99,-3.66,152.44,85.08,5.17
121,cherskiy,68,RU,1544327811,98,68.75,161.3,-22.16,3.71
122,tommot,76,RU,1544327811,69,58.97,126.27,-16.4,4.72
123,havre-saint-pierre,20,CA,1544324400,77,50.23,-63.6,3.2,9.17
124,butaritari,12,KI,1544327811,100,3.07,172.79,85.67,4.61
125,luganville,92,VU,1544327812,100,-15.51,167.18,80.04,18.25
126,sabang,56,PH,1544327775,90,13.72,123.58,82.52,12.1
127,velsk,36,RU,1544327812,90,61.07,42.1,19.38,11.32
128,ciudad bolivar,64,VE,1544327813,63,8.12,-63.55,80.99,12.55
129,lompoc,1,US,1544326500,76,34.64,-120.46,53.06,1.36
130,vostok,36,RU,1544327813,54,46.45,135.83,-5.82,5.17
131,mafeteng,92,LS,1544327813,74,-29.82,27.24,53.9,2.48
132,qasigiannguit,0,GL,1544323800,71,68.82,-51.19,5.0,6.93
133,uusikaupunki,92,FI,1544325600,100,60.8,21.41,41.0,16.11
134,senno,68,RU,1544324400,94,57.76,27.95,32.0,8.95
135,margate,75,AU,1544326200,59,-43.03,147.26,62.6,9.17
136,college,90,US,1544324280,96,64.86,-147.8,19.94,4.7
137,eydhafushi,80,MV,1544327816,100,5.1,73.07,82.97,8.86
138,lavrentiya,36,RU,1544327816,100,65.58,-170.99,18.48,30.11
139,kailua,75,US,1544324220,70,21.39,-157.74,75.02,16.11
140,morehead,1,US,1544326500,63,38.18,-83.43,28.94,6.93
141,micheweni,64,TZ,1544327817,100,-4.97,39.83,80.72,5.95
142,saldanha,0,PT,1544327644,81,41.42,-6.55,28.7,1.03
143,bhadrachalam,36,IN,1544327818,87,17.67,80.89,74.15,4.72
144,rio grande,0,BR,1544327766,90,-32.03,-52.1,64.56,16.8
145,longyearbyen,40,NO,1544323800,58,78.22,15.63,26.6,13.87
146,prince rupert,90,CA,1544324400,70,54.32,-130.32,46.4,14.99
147,sola,40,NO,1544325600,87,58.89,5.65,42.8,6.93
148,aksu,0,KZ,1544326200,70,52.04,76.93,-0.41,8.95
149,bambanglipuro,56,ID,1544327820,98,-7.95,110.28,81.17,3.94
150,hamilton,90,CA,1544324400,79,43.26,-79.87,30.2,3.36
151,ancud,90,CL,1544324400,100,-41.87,-73.83,53.6,9.17
152,carutapera,100,BR,1544327592,87,-1.2,-46.02,79.55,5.28
153,yar-sale,68,RU,1544327820,92,66.83,70.83,14.16,3.38
154,buala,44,SB,1544327821,100,-8.15,159.59,79.19,2.15
155,dingle,36,PH,1544327821,74,11.0,122.67,83.37,13.22
156,tandil,32,AR,1544327821,43,-37.33,-59.14,69.42,14.34
157,rio gallegos,0,AR,1544324400,37,-51.62,-69.22,53.6,16.11
158,kieta,76,PG,1544327822,91,-6.22,155.63,84.5,6.17
159,biak,20,ID,1544327822,79,-0.91,122.88,86.79,1.92
